Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
15242,09/08/2004,09/14/2004,2004,Residential   Construction/repair/demolition,20816
8594,02/26/1999,04/12/1999,1999,Industrial/commercial   Electrical Amp Equip,20906
18348,11/06/2006,12/21/2006,2006,Industrial/commercial   Equipment Noise,20878
6689,01/03/1997,02/21/1997,1997,Residential House/yard,20832
20191865,05/29/2019,06/07/2019,2019,Industrial/commercial   Refuse Noise Collection,20882
20241093,01/24/2024,02/14/2024,2024,Noise Industrial/commercial   Leaf Blower Noise,20837
20141483,11/13/2014,12/15/2014,2014,Industrial/commercial  construction/repair/demolit,20817
23566,07/13/2010,08/18/2010,2010,Residential   Construction/repair/demolition,20817
18034,08/08/2006,09/05/2006,2006,Residential   Construction/repair/demolition,20903
20251143,02/12/2025,02/25/2025,2025,Noise Industrial/commercial   Leaf Blower Noise,20895
20162031,08/01/2016,08/10/2016,2016,Residential Muti Tenant Dwelling,20852
1601,03/14/2001,05/22/2001,2001,Industrial/commercial   Equipment Noise,20861
