License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17453,"Silver Spring Avenue, 515",515 Silver Spring Ave,Silver Spring,20910,174522,-77.012908954,38.993058537,12/02/2022,,3,1,5,4,0.25,0.00,3,0.00,0.00,compliant,"(38.9931, -77.0129)"
17614,Scotland Community,7838 Scotland Dr,Potomac,20854,176731,-77.159220748,39.031479403,01/24/2023,,3,1,75,19,0.52,0.60,14,0.00,0.00,compliant,"(39.0315, -77.1592)"
17323,"Bonifant Street, 828",828 Bonifant St,Silver Spring,20910,177625,-77.022845435,38.994720876,02/24/2023,,2,1,3,3,0.00,0.00,3,0.00,0.00,compliant,"(38.9947, -77.0228)"
18000,"Main Street, 9863",9863 Main St,Damascus,20872,175605,-77.203362795,39.288217205,11/29/2022,,2,1,4,4,0.50,0.62,3,0.00,0.00,compliant,"(39.2882, -77.2034)"
17999,"Piney Branch Road, 8202-8208",8202 Piney Branch Rd,Silver Spring,20910,177784,-77.009512488,38.992957894,03/30/2023,,2,1,2,1,8.00,1.87,0,0.00,0.00,troubled,"(38.993, -77.0095)"
17233,Spring Gardens East,8007 Eastern Ave,Silver Spring,20910,174561,-77.031331666,38.988295875,09/15/2022,,3,1,82,22,0.13,0.36,19,0.00,0.00,compliant,"(38.9883, -77.0313)"
17231,Wayne Manchester Towers,25 Wayne Ave E,Silver Spring,20901,176729,-77.00863143,38.999876487,01/17/2023,,3,1,226,59,0.35,0.74,42,0.01,0.00,compliant,"(38.9999, -77.0086)"
17768,"Greenwood Avenue, 8109",8109 Greenwood Ave,Takoma Park,20912,174571,-77.000077382,38.991060355,08/24/2022,,3,1,4,4,0.50,0.62,3,0.00,0.00,compliant,"(38.9911, -77.0001)"
44507,"Erie Avenue, 904",904 Erie Ave,Takoma Park,20912,177628,-76.999926098,38.989833021,03/01/2023,,3,1,1,2,0.50,0.50,1,0.00,0.00,compliant,"(38.9898, -76.9999)"
17624,"Domer Avenue, 406",406 Domer Ave,Takoma Park,20912,177612,-77.001358168,38.997004812,03/24/2023,,3,1,2,4,1.00,1.00,0,0.00,0.00,compliant,"(38.997, -77.0014)"
17512,"Flower Avenue, 8303",8303 Flower Ave,Takoma Park,20912,177585,-77.001928019,38.992880756,02/23/2023,,3,1,6,7,3.57,1.64,0,0.00,0.00,troubled,"(38.9929, -77.0019)"
17320,"Greenwood Avenue, 8503",8503 Greenwood Ave,Takoma Park,20912,175964,-77.00120684,38.995253054,10/25/2022,,1,1,5,7,2.00,1.27,2,0.00,0.00,compliant,"(38.9953, -77.0012)"
